instance,city,demand_baseline,outsourcing_cost_multiplier,region_multiplier,global_multiplier,model,max_n_shifts,workforce_size,objective_value
berlin_db=0.50,berlin,0.5,1.2,1.5,0.8,fixed,,20,3276.6000000000986
berlin_db=0.50,berlin,0.5,1.5,1.5,0.8,fixed,,20,3975.7500000000396
berlin_db=0.50,berlin,0.5,1.8,1.5,0.8,fixed,,20,4674.899999999701
berlin_db=0.50,berlin,0.5,2.0,1.5,0.8,fixed,,20,5141.000000000291
berlin_db=0.50,berlin,0.5,2.5,1.5,0.8,fixed,,20,6306.249999999985
berlin_db=0.50,berlin,0.5,1.2,1.5,0.8,flex,,20,2854.540000000124
berlin_db=0.50,berlin,0.5,1.5,1.5,0.8,flex,,20,
berlin_db=0.50,berlin,0.5,1.8,1.5,0.8,flex,,20,
berlin_db=0.50,berlin,0.5,2.0,1.5,0.8,flex,,20,
berlin_db=0.50,berlin,0.5,2.5,1.5,0.8,flex,,20,
berlin_db=0.50,berlin,0.5,1.2,1.5,0.8,partflex,2.0,20,2859.740000000098
berlin_db=0.50,berlin,0.5,1.2,1.5,0.8,partflex,3.0,20,2854.540000000124
berlin_db=0.50,berlin,0.5,1.2,1.5,0.8,partflex,4.0,20,2854.540000000124
berlin_db=0.50,berlin,0.5,1.5,1.5,0.8,partflex,2.0,20,
berlin_db=0.50,berlin,0.5,1.5,1.5,0.8,partflex,3.0,20,
berlin_db=0.50,berlin,0.5,1.5,1.5,0.8,partflex,4.0,20,
berlin_db=0.50,berlin,0.5,1.8,1.5,0.8,partflex,2.0,20,
berlin_db=0.50,berlin,0.5,1.8,1.5,0.8,partflex,3.0,20,
berlin_db=0.50,berlin,0.5,1.8,1.5,0.8,partflex,4.0,20,
berlin_db=0.50,berlin,0.5,2.0,1.5,0.8,partflex,2.0,20,
berlin_db=0.50,berlin,0.5,2.0,1.5,0.8,partflex,3.0,20,
berlin_db=0.50,berlin,0.5,2.0,1.5,0.8,partflex,4.0,20,
berlin_db=0.50,berlin,0.5,2.5,1.5,0.8,partflex,2.0,20,
berlin_db=0.50,berlin,0.5,2.5,1.5,0.8,partflex,3.0,20,
berlin_db=0.50,berlin,0.5,2.5,1.5,0.8,partflex,4.0,20,
berlin_db=1.00,berlin,1.0,1.2,1.5,0.8,fixed,,20,6792.09333333315
berlin_db=1.00,berlin,1.0,1.5,1.5,0.8,fixed,,20,8370.116666666403
berlin_db=1.00,berlin,1.0,1.8,1.5,0.8,fixed,,20,9948.139999999015
berlin_db=1.00,berlin,1.0,2.0,1.5,0.8,fixed,,20,11000.15555555593
berlin_db=1.00,berlin,1.0,2.5,1.5,0.8,fixed,,20,13630.194444444482
berlin_db=1.00,berlin,1.0,1.2,1.5,0.8,flex,,20,
berlin_db=1.00,berlin,1.0,1.5,1.5,0.8,flex,,20,
berlin_db=1.00,berlin,1.0,1.8,1.5,0.8,flex,,20,
berlin_db=1.00,berlin,1.0,2.0,1.5,0.8,flex,,20,
berlin_db=1.00,berlin,1.0,2.5,1.5,0.8,flex,,20,
berlin_db=1.00,berlin,1.0,1.2,1.5,0.8,partflex,2.0,20,
berlin_db=1.00,berlin,1.0,1.2,1.5,0.8,partflex,3.0,20,
berlin_db=1.00,berlin,1.0,1.2,1.5,0.8,partflex,4.0,20,
berlin_db=1.00,berlin,1.0,1.5,1.5,0.8,partflex,2.0,20,
berlin_db=1.00,berlin,1.0,1.5,1.5,0.8,partflex,3.0,20,
berlin_db=1.00,berlin,1.0,1.5,1.5,0.8,partflex,4.0,20,
berlin_db=1.00,berlin,1.0,1.8,1.5,0.8,partflex,2.0,20,
berlin_db=1.00,berlin,1.0,1.8,1.5,0.8,partflex,3.0,20,
berlin_db=1.00,berlin,1.0,1.8,1.5,0.8,partflex,4.0,20,
berlin_db=1.00,berlin,1.0,2.0,1.5,0.8,partflex,2.0,20,
berlin_db=1.00,berlin,1.0,2.0,1.5,0.8,partflex,3.0,20,
berlin_db=1.00,berlin,1.0,2.0,1.5,0.8,partflex,4.0,20,
berlin_db=1.00,berlin,1.0,2.5,1.5,0.8,partflex,2.0,20,
berlin_db=1.00,berlin,1.0,2.5,1.5,0.8,partflex,3.0,20,
berlin_db=1.00,berlin,1.0,2.5,1.5,0.8,partflex,4.0,20,
berlin_db=2.00,berlin,2.0,1.2,1.5,0.8,fixed,,20,14546.383333332305
berlin_db=2.00,berlin,2.0,1.5,1.5,0.8,fixed,,20,18062.97916666672
berlin_db=2.00,berlin,2.0,1.8,1.5,0.8,fixed,,20,21579.574999998727
berlin_db=2.00,berlin,2.0,2.0,1.5,0.8,fixed,,20,23923.972222221786
berlin_db=2.00,berlin,2.0,2.5,1.5,0.8,fixed,,20,29784.965277777817
berlin_db=2.00,berlin,2.0,1.2,1.5,0.8,flex,,20,
berlin_db=2.00,berlin,2.0,1.5,1.5,0.8,flex,,20,
berlin_db=2.00,berlin,2.0,1.8,1.5,0.8,flex,,20,
berlin_db=2.00,berlin,2.0,2.0,1.5,0.8,flex,,20,
berlin_db=2.00,berlin,2.0,2.5,1.5,0.8,flex,,20,
berlin_db=2.00,berlin,2.0,1.2,1.5,0.8,partflex,2.0,20,
berlin_db=2.00,berlin,2.0,1.2,1.5,0.8,partflex,3.0,20,
berlin_db=2.00,berlin,2.0,1.2,1.5,0.8,partflex,4.0,20,
berlin_db=2.00,berlin,2.0,1.5,1.5,0.8,partflex,2.0,20,
berlin_db=2.00,berlin,2.0,1.5,1.5,0.8,partflex,3.0,20,
berlin_db=2.00,berlin,2.0,1.5,1.5,0.8,partflex,4.0,20,
berlin_db=2.00,berlin,2.0,1.8,1.5,0.8,partflex,2.0,20,
berlin_db=2.00,berlin,2.0,1.8,1.5,0.8,partflex,3.0,20,
berlin_db=2.00,berlin,2.0,1.8,1.5,0.8,partflex,4.0,20,
berlin_db=2.00,berlin,2.0,2.0,1.5,0.8,partflex,2.0,20,
berlin_db=2.00,berlin,2.0,2.0,1.5,0.8,partflex,3.0,20,
berlin_db=2.00,berlin,2.0,2.0,1.5,0.8,partflex,4.0,20,
berlin_db=2.00,berlin,2.0,2.5,1.5,0.8,partflex,2.0,20,
berlin_db=2.00,berlin,2.0,2.5,1.5,0.8,partflex,3.0,20,
berlin_db=2.00,berlin,2.0,2.5,1.5,0.8,partflex,4.0,20,
berlin_db=4.00,berlin,4.0,1.2,1.5,0.8,fixed,,20,30694.311079362968
berlin_db=4.00,berlin,4.0,1.5,1.5,0.8,fixed,,20,38247.888849206356
berlin_db=4.00,berlin,4.0,1.8,1.5,0.8,fixed,,20,45801.46661904703
berlin_db=4.00,berlin,4.0,2.0,1.5,0.8,fixed,,20,50837.18513227532
berlin_db=4.00,berlin,4.0,2.5,1.5,0.8,fixed,,20,63426.48141534384
berlin_db=4.00,berlin,4.0,1.2,1.5,0.8,flex,,20,
berlin_db=4.00,berlin,4.0,1.5,1.5,0.8,flex,,20,
berlin_db=4.00,berlin,4.0,1.8,1.5,0.8,flex,,20,
berlin_db=4.00,berlin,4.0,2.0,1.5,0.8,flex,,20,
berlin_db=4.00,berlin,4.0,2.5,1.5,0.8,flex,,20,
berlin_db=4.00,berlin,4.0,1.2,1.5,0.8,partflex,2.0,20,
berlin_db=4.00,berlin,4.0,1.2,1.5,0.8,partflex,3.0,20,
berlin_db=4.00,berlin,4.0,1.2,1.5,0.8,partflex,4.0,20,
berlin_db=4.00,berlin,4.0,1.5,1.5,0.8,partflex,2.0,20,
berlin_db=4.00,berlin,4.0,1.5,1.5,0.8,partflex,3.0,20,
berlin_db=4.00,berlin,4.0,1.5,1.5,0.8,partflex,4.0,20,
berlin_db=4.00,berlin,4.0,1.8,1.5,0.8,partflex,2.0,20,
berlin_db=4.00,berlin,4.0,1.8,1.5,0.8,partflex,3.0,20,
berlin_db=4.00,berlin,4.0,1.8,1.5,0.8,partflex,4.0,20,
berlin_db=4.00,berlin,4.0,2.0,1.5,0.8,partflex,2.0,20,
berlin_db=4.00,berlin,4.0,2.0,1.5,0.8,partflex,3.0,20,
berlin_db=4.00,berlin,4.0,2.0,1.5,0.8,partflex,4.0,20,
berlin_db=4.00,berlin,4.0,2.5,1.5,0.8,partflex,2.0,20,
berlin_db=4.00,berlin,4.0,2.5,1.5,0.8,partflex,3.0,20,
berlin_db=4.00,berlin,4.0,2.5,1.5,0.8,partflex,4.0,20,
frankfurt_db=0.50,frankfurt,0.5,1.2,1.5,0.8,fixed,,20,1719.5600000000422
frankfurt_db=0.50,frankfurt,0.5,1.5,1.5,0.8,fixed,,20,2029.4500000000671
frankfurt_db=0.50,frankfurt,0.5,1.8,1.5,0.8,fixed,,20,2339.3400000000665
frankfurt_db=0.50,frankfurt,0.5,2.0,1.5,0.8,fixed,,20,2545.9333333332534
frankfurt_db=0.50,frankfurt,0.5,2.5,1.5,0.8,fixed,,20,3062.416666666657
frankfurt_db=0.50,frankfurt,0.5,1.2,1.5,0.8,flex,,20,
frankfurt_db=0.50,frankfurt,0.5,1.5,1.5,0.8,flex,,20,
frankfurt_db=0.50,frankfurt,0.5,1.8,1.5,0.8,flex,,20,
frankfurt_db=0.50,frankfurt,0.5,2.0,1.5,0.8,flex,,20,
frankfurt_db=0.50,frankfurt,0.5,2.5,1.5,0.8,flex,,20,
frankfurt_db=0.50,frankfurt,0.5,1.2,1.5,0.8,partflex,2.0,20,
frankfurt_db=0.50,frankfurt,0.5,1.2,1.5,0.8,partflex,3.0,20,
frankfurt_db=0.50,frankfurt,0.5,1.2,1.5,0.8,partflex,4.0,20,
frankfurt_db=0.50,frankfurt,0.5,1.5,1.5,0.8,partflex,2.0,20,
frankfurt_db=0.50,frankfurt,0.5,1.5,1.5,0.8,partflex,3.0,20,
frankfurt_db=0.50,frankfurt,0.5,1.5,1.5,0.8,partflex,4.0,20,
frankfurt_db=0.50,frankfurt,0.5,1.8,1.5,0.8,partflex,2.0,20,
frankfurt_db=0.50,frankfurt,0.5,1.8,1.5,0.8,partflex,3.0,20,
frankfurt_db=0.50,frankfurt,0.5,1.8,1.5,0.8,partflex,4.0,20,
frankfurt_db=0.50,frankfurt,0.5,2.0,1.5,0.8,partflex,2.0,20,
frankfurt_db=0.50,frankfurt,0.5,2.0,1.5,0.8,partflex,3.0,20,
frankfurt_db=0.50,frankfurt,0.5,2.0,1.5,0.8,partflex,4.0,20,
frankfurt_db=0.50,frankfurt,0.5,2.5,1.5,0.8,partflex,2.0,20,
frankfurt_db=0.50,frankfurt,0.5,2.5,1.5,0.8,partflex,3.0,20,
frankfurt_db=0.50,frankfurt,0.5,2.5,1.5,0.8,partflex,4.0,20,
frankfurt_db=1.00,frankfurt,1.0,1.2,1.5,0.8,fixed,,20,3475.6000000000695
frankfurt_db=1.00,frankfurt,1.0,1.5,1.5,0.8,fixed,,20,4224.499999999979
frankfurt_db=1.00,frankfurt,1.0,1.8,1.5,0.8,fixed,,20,4973.399999999861
frankfurt_db=1.00,frankfurt,1.0,2.0,1.5,0.8,fixed,,20,5472.666666666786
frankfurt_db=1.00,frankfurt,1.0,2.5,1.5,0.8,fixed,,20,6720.833333333325
frankfurt_db=1.00,frankfurt,1.0,1.2,1.5,0.8,flex,,20,
frankfurt_db=1.00,frankfurt,1.0,1.5,1.5,0.8,flex,,20,
frankfurt_db=1.00,frankfurt,1.0,1.8,1.5,0.8,flex,,20,
frankfurt_db=1.00,frankfurt,1.0,2.0,1.5,0.8,flex,,20,
frankfurt_db=1.00,frankfurt,1.0,2.5,1.5,0.8,flex,,20,
frankfurt_db=1.00,frankfurt,1.0,1.2,1.5,0.8,partflex,2.0,20,
frankfurt_db=1.00,frankfurt,1.0,1.2,1.5,0.8,partflex,3.0,20,
frankfurt_db=1.00,frankfurt,1.0,1.2,1.5,0.8,partflex,4.0,20,
frankfurt_db=1.00,frankfurt,1.0,1.5,1.5,0.8,partflex,2.0,20,
frankfurt_db=1.00,frankfurt,1.0,1.5,1.5,0.8,partflex,3.0,20,
frankfurt_db=1.00,frankfurt,1.0,1.5,1.5,0.8,partflex,4.0,20,
frankfurt_db=1.00,frankfurt,1.0,1.8,1.5,0.8,partflex,2.0,20,
frankfurt_db=1.00,frankfurt,1.0,1.8,1.5,0.8,partflex,3.0,20,
frankfurt_db=1.00,frankfurt,1.0,1.8,1.5,0.8,partflex,4.0,20,
frankfurt_db=1.00,frankfurt,1.0,2.0,1.5,0.8,partflex,2.0,20,
frankfurt_db=1.00,frankfurt,1.0,2.0,1.5,0.8,partflex,3.0,20,
frankfurt_db=1.00,frankfurt,1.0,2.0,1.5,0.8,partflex,4.0,20,
frankfurt_db=1.00,frankfurt,1.0,2.5,1.5,0.8,partflex,2.0,20,
frankfurt_db=1.00,frankfurt,1.0,2.5,1.5,0.8,partflex,3.0,20,
frankfurt_db=1.00,frankfurt,1.0,2.5,1.5,0.8,partflex,4.0,20,
frankfurt_db=2.00,frankfurt,2.0,1.2,1.5,0.8,fixed,,20,7768.5333333333
frankfurt_db=2.00,frankfurt,2.0,1.5,1.5,0.8,fixed,,20,9590.666666666642
frankfurt_db=2.00,frankfurt,2.0,1.8,1.5,0.8,fixed,,20,11412.799999999563
frankfurt_db=2.00,frankfurt,2.0,2.0,1.5,0.8,fixed,,20,12627.55555555564
frankfurt_db=2.00,frankfurt,2.0,2.5,1.5,0.8,fixed,,20,15664.44444444447
frankfurt_db=2.00,frankfurt,2.0,1.2,1.5,0.8,flex,,20,
frankfurt_db=2.00,frankfurt,2.0,1.5,1.5,0.8,flex,,20,
frankfurt_db=2.00,frankfurt,2.0,1.8,1.5,0.8,flex,,20,
frankfurt_db=2.00,frankfurt,2.0,2.0,1.5,0.8,flex,,20,
frankfurt_db=2.00,frankfurt,2.0,2.5,1.5,0.8,flex,,20,
frankfurt_db=2.00,frankfurt,2.0,1.2,1.5,0.8,partflex,2.0,20,
frankfurt_db=2.00,frankfurt,2.0,1.2,1.5,0.8,partflex,3.0,20,
frankfurt_db=2.00,frankfurt,2.0,1.2,1.5,0.8,partflex,4.0,20,
frankfurt_db=2.00,frankfurt,2.0,1.5,1.5,0.8,partflex,2.0,20,
frankfurt_db=2.00,frankfurt,2.0,1.5,1.5,0.8,partflex,3.0,20,
frankfurt_db=2.00,frankfurt,2.0,1.5,1.5,0.8,partflex,4.0,20,
frankfurt_db=2.00,frankfurt,2.0,1.8,1.5,0.8,partflex,2.0,20,
frankfurt_db=2.00,frankfurt,2.0,1.8,1.5,0.8,partflex,3.0,20,
frankfurt_db=2.00,frankfurt,2.0,1.8,1.5,0.8,partflex,4.0,20,
frankfurt_db=2.00,frankfurt,2.0,2.0,1.5,0.8,partflex,2.0,20,
frankfurt_db=2.00,frankfurt,2.0,2.0,1.5,0.8,partflex,3.0,20,
frankfurt_db=2.00,frankfurt,2.0,2.0,1.5,0.8,partflex,4.0,20,
frankfurt_db=2.00,frankfurt,2.0,2.5,1.5,0.8,partflex,2.0,20,
frankfurt_db=2.00,frankfurt,2.0,2.5,1.5,0.8,partflex,3.0,20,
frankfurt_db=2.00,frankfurt,2.0,2.5,1.5,0.8,partflex,4.0,20,
frankfurt_db=4.00,frankfurt,4.0,1.2,1.5,0.8,fixed,,20,16866.163301587145
frankfurt_db=4.00,frankfurt,4.0,1.5,1.5,0.8,fixed,,20,20962.704126984157
frankfurt_db=4.00,frankfurt,4.0,1.8,1.5,0.8,fixed,,20,25059.244952380697
frankfurt_db=4.00,frankfurt,4.0,2.0,1.5,0.8,fixed,,20,27790.2721693121
frankfurt_db=4.00,frankfurt,4.0,2.5,1.5,0.8,fixed,,20,34617.84021164026
frankfurt_db=4.00,frankfurt,4.0,1.2,1.5,0.8,flex,,20,
frankfurt_db=4.00,frankfurt,4.0,1.5,1.5,0.8,flex,,20,
frankfurt_db=4.00,frankfurt,4.0,1.8,1.5,0.8,flex,,20,
frankfurt_db=4.00,frankfurt,4.0,2.0,1.5,0.8,flex,,20,
frankfurt_db=4.00,frankfurt,4.0,2.5,1.5,0.8,flex,,20,
frankfurt_db=4.00,frankfurt,4.0,1.2,1.5,0.8,partflex,2.0,20,
frankfurt_db=4.00,frankfurt,4.0,1.2,1.5,0.8,partflex,3.0,20,
frankfurt_db=4.00,frankfurt,4.0,1.2,1.5,0.8,partflex,4.0,20,
frankfurt_db=4.00,frankfurt,4.0,1.5,1.5,0.8,partflex,2.0,20,
