instance,city,demand_baseline,outsourcing_cost_multiplier,region_multiplier,global_multiplier,model,max_n_shifts,workforce_size,objective_value
frankfurt_db=4.00,frankfurt,4.0,1.5,1.5,0.8,partflex,3.0,20,
frankfurt_db=4.00,frankfurt,4.0,1.5,1.5,0.8,partflex,4.0,20,
frankfurt_db=4.00,frankfurt,4.0,1.8,1.5,0.8,partflex,2.0,20,
frankfurt_db=4.00,frankfurt,4.0,1.8,1.5,0.8,partflex,3.0,20,
frankfurt_db=4.00,frankfurt,4.0,1.8,1.5,0.8,partflex,4.0,20,
frankfurt_db=4.00,frankfurt,4.0,2.0,1.5,0.8,partflex,2.0,20,
frankfurt_db=4.00,frankfurt,4.0,2.0,1.5,0.8,partflex,3.0,20,
frankfurt_db=4.00,frankfurt,4.0,2.0,1.5,0.8,partflex,4.0,20,
frankfurt_db=4.00,frankfurt,4.0,2.5,1.5,0.8,partflex,2.0,20,
frankfurt_db=4.00,frankfurt,4.0,2.5,1.5,0.8,partflex,3.0,20,
frankfurt_db=4.00,frankfurt,4.0,2.5,1.5,0.8,partflex,4.0,20,
lyon_db=0.50,lyon,0.5,1.2,1.5,0.8,fixed,,20,2372.5833333333603
lyon_db=0.50,lyon,0.5,1.5,1.5,0.8,fixed,,20,2845.729166666662
lyon_db=0.50,lyon,0.5,1.8,1.5,0.8,fixed,,20,3318.8750000000186
lyon_db=0.50,lyon,0.5,2.0,1.5,0.8,fixed,,20,3634.305555555551
lyon_db=0.50,lyon,0.5,2.5,1.5,0.8,fixed,,20,4422.881944444444
lyon_db=0.50,lyon,0.5,1.2,1.5,0.8,flex,,20,
lyon_db=0.50,lyon,0.5,1.5,1.5,0.8,flex,,20,
lyon_db=0.50,lyon,0.5,1.8,1.5,0.8,flex,,20,
lyon_db=0.50,lyon,0.5,2.0,1.5,0.8,flex,,20,
lyon_db=0.50,lyon,0.5,2.5,1.5,0.8,flex,,20,
lyon_db=0.50,lyon,0.5,1.2,1.5,0.8,partflex,2.0,20,
lyon_db=0.50,lyon,0.5,1.2,1.5,0.8,partflex,3.0,20,
lyon_db=0.50,lyon,0.5,1.2,1.5,0.8,partflex,4.0,20,
lyon_db=0.50,lyon,0.5,1.5,1.5,0.8,partflex,2.0,20,
lyon_db=0.50,lyon,0.5,1.5,1.5,0.8,partflex,3.0,20,
lyon_db=0.50,lyon,0.5,1.5,1.5,0.8,partflex,4.0,20,
lyon_db=0.50,lyon,0.5,1.8,1.5,0.8,partflex,2.0,20,
lyon_db=0.50,lyon,0.5,1.8,1.5,0.8,partflex,3.0,20,
lyon_db=0.50,lyon,0.5,1.8,1.5,0.8,partflex,4.0,20,
lyon_db=0.50,lyon,0.5,2.0,1.5,0.8,partflex,2.0,20,
lyon_db=0.50,lyon,0.5,2.0,1.5,0.8,partflex,3.0,20,
lyon_db=0.50,lyon,0.5,2.0,1.5,0.8,partflex,4.0,20,
lyon_db=0.50,lyon,0.5,2.5,1.5,0.8,partflex,2.0,20,
lyon_db=0.50,lyon,0.5,2.5,1.5,0.8,partflex,3.0,20,
lyon_db=0.50,lyon,0.5,2.5,1.5,0.8,partflex,4.0,20,
lyon_db=1.00,lyon,1.0,1.2,1.5,0.8,fixed,,20,5721.696349206377
lyon_db=1.00,lyon,1.0,1.5,1.5,0.8,fixed,,20,7032.1204365079375
lyon_db=1.00,lyon,1.0,1.8,1.5,0.8,fixed,,20,8342.544523809489
lyon_db=1.00,lyon,1.0,2.0,1.5,0.8,fixed,,20,9216.160582010602
lyon_db=1.00,lyon,1.0,2.5,1.5,0.8,fixed,,20,11400.200727513227
lyon_db=1.00,lyon,1.0,1.2,1.5,0.8,flex,,20,
lyon_db=1.00,lyon,1.0,1.5,1.5,0.8,flex,,20,
lyon_db=1.00,lyon,1.0,1.8,1.5,0.8,flex,,20,
lyon_db=1.00,lyon,1.0,2.0,1.5,0.8,flex,,20,
lyon_db=1.00,lyon,1.0,2.5,1.5,0.8,flex,,20,
lyon_db=1.00,lyon,1.0,1.2,1.5,0.8,partflex,2.0,20,
lyon_db=1.00,lyon,1.0,1.2,1.5,0.8,partflex,3.0,20,
lyon_db=1.00,lyon,1.0,1.2,1.5,0.8,partflex,4.0,20,
lyon_db=1.00,lyon,1.0,1.5,1.5,0.8,partflex,2.0,20,
lyon_db=1.00,lyon,1.0,1.5,1.5,0.8,partflex,3.0,20,
lyon_db=1.00,lyon,1.0,1.5,1.5,0.8,partflex,4.0,20,
lyon_db=1.00,lyon,1.0,1.8,1.5,0.8,partflex,2.0,20,
lyon_db=1.00,lyon,1.0,1.8,1.5,0.8,partflex,3.0,20,
lyon_db=1.00,lyon,1.0,1.8,1.5,0.8,partflex,4.0,20,
lyon_db=1.00,lyon,1.0,2.0,1.5,0.8,partflex,2.0,20,
lyon_db=1.00,lyon,1.0,2.0,1.5,0.8,partflex,3.0,20,
lyon_db=1.00,lyon,1.0,2.0,1.5,0.8,partflex,4.0,20,
lyon_db=1.00,lyon,1.0,2.5,1.5,0.8,partflex,2.0,20,
lyon_db=1.00,lyon,1.0,2.5,1.5,0.8,partflex,3.0,20,
lyon_db=1.00,lyon,1.0,2.5,1.5,0.8,partflex,4.0,20,
lyon_db=2.00,lyon,2.0,1.2,1.5,0.8,fixed,,20,12841.015407455356
lyon_db=2.00,lyon,2.0,1.5,1.5,0.8,fixed,,20,15931.269259319144
lyon_db=2.00,lyon,2.0,1.8,1.5,0.8,fixed,,20,19021.523111182927
lyon_db=2.00,lyon,2.0,2.0,1.5,0.8,fixed,,20,21081.69234575885
lyon_db=2.00,lyon,2.0,2.5,1.5,0.8,fixed,,20,26232.11543219853
lyon_db=2.00,lyon,2.0,1.2,1.5,0.8,flex,,20,
lyon_db=2.00,lyon,2.0,1.5,1.5,0.8,flex,,20,
lyon_db=2.00,lyon,2.0,1.8,1.5,0.8,flex,,20,
lyon_db=2.00,lyon,2.0,2.0,1.5,0.8,flex,,20,
lyon_db=2.00,lyon,2.0,2.5,1.5,0.8,flex,,20,
lyon_db=2.00,lyon,2.0,1.2,1.5,0.8,partflex,2.0,20,
lyon_db=2.00,lyon,2.0,1.2,1.5,0.8,partflex,3.0,20,
lyon_db=2.00,lyon,2.0,1.2,1.5,0.8,partflex,4.0,20,
lyon_db=2.00,lyon,2.0,1.5,1.5,0.8,partflex,2.0,20,
lyon_db=2.00,lyon,2.0,1.5,1.5,0.8,partflex,3.0,20,
lyon_db=2.00,lyon,2.0,1.5,1.5,0.8,partflex,4.0,20,
lyon_db=2.00,lyon,2.0,1.8,1.5,0.8,partflex,2.0,20,
lyon_db=2.00,lyon,2.0,1.8,1.5,0.8,partflex,3.0,20,
lyon_db=2.00,lyon,2.0,1.8,1.5,0.8,partflex,4.0,20,
lyon_db=2.00,lyon,2.0,2.0,1.5,0.8,partflex,2.0,20,
lyon_db=2.00,lyon,2.0,2.0,1.5,0.8,partflex,3.0,20,
lyon_db=2.00,lyon,2.0,2.0,1.5,0.8,partflex,4.0,20,
lyon_db=2.00,lyon,2.0,2.5,1.5,0.8,partflex,2.0,20,
lyon_db=2.00,lyon,2.0,2.5,1.5,0.8,partflex,3.0,20,
lyon_db=2.00,lyon,2.0,2.5,1.5,0.8,partflex,4.0,20,
lyon_db=4.00,lyon,4.0,1.2,1.5,0.8,fixed,,20,27723.37746859196
lyon_db=4.00,lyon,4.0,1.5,1.5,0.8,fixed,,20,34534.22183573982
lyon_db=4.00,lyon,4.0,1.8,1.5,0.8,fixed,,20,41345.06620288769
lyon_db=4.00,lyon,4.0,2.0,1.5,0.8,fixed,,20,45885.62911431968
lyon_db=4.00,lyon,4.0,2.5,1.5,0.8,fixed,,20,57237.03639289958
lyon_db=4.00,lyon,4.0,1.2,1.5,0.8,flex,,20,
lyon_db=4.00,lyon,4.0,1.5,1.5,0.8,flex,,20,
lyon_db=4.00,lyon,4.0,1.8,1.5,0.8,flex,,20,
lyon_db=4.00,lyon,4.0,2.0,1.5,0.8,flex,,20,
lyon_db=4.00,lyon,4.0,2.5,1.5,0.8,flex,,20,
lyon_db=4.00,lyon,4.0,1.2,1.5,0.8,partflex,2.0,20,
lyon_db=4.00,lyon,4.0,1.2,1.5,0.8,partflex,3.0,20,
lyon_db=4.00,lyon,4.0,1.2,1.5,0.8,partflex,4.0,20,
lyon_db=4.00,lyon,4.0,1.5,1.5,0.8,partflex,2.0,20,
lyon_db=4.00,lyon,4.0,1.5,1.5,0.8,partflex,3.0,20,
lyon_db=4.00,lyon,4.0,1.5,1.5,0.8,partflex,4.0,20,
lyon_db=4.00,lyon,4.0,1.8,1.5,0.8,partflex,2.0,20,
lyon_db=4.00,lyon,4.0,1.8,1.5,0.8,partflex,3.0,20,
lyon_db=4.00,lyon,4.0,1.8,1.5,0.8,partflex,4.0,20,
lyon_db=4.00,lyon,4.0,2.0,1.5,0.8,partflex,2.0,20,
lyon_db=4.00,lyon,4.0,2.0,1.5,0.8,partflex,3.0,20,
lyon_db=4.00,lyon,4.0,2.0,1.5,0.8,partflex,4.0,20,
lyon_db=4.00,lyon,4.0,2.5,1.5,0.8,partflex,2.0,20,
lyon_db=4.00,lyon,4.0,2.5,1.5,0.8,partflex,3.0,20,
lyon_db=4.00,lyon,4.0,2.5,1.5,0.8,partflex,4.0,20,
paris_db=0.50,paris,0.5,1.2,1.5,0.8,fixed,,20,7557.4867619047345
paris_db=0.50,paris,0.5,1.5,1.5,0.8,fixed,,20,9326.858452380942
paris_db=0.50,paris,0.5,1.8,1.5,0.8,fixed,,20,11096.23014285694
paris_db=0.50,paris,0.5,2.0,1.5,0.8,fixed,,20,12275.811269841324
paris_db=0.50,paris,0.5,2.5,1.5,0.8,fixed,,20,15224.7640873016
paris_db=0.50,paris,0.5,1.2,1.5,0.8,flex,,20,
paris_db=0.50,paris,0.5,1.5,1.5,0.8,flex,,20,
paris_db=0.50,paris,0.5,1.8,1.5,0.8,flex,,20,
paris_db=0.50,paris,0.5,2.0,1.5,0.8,flex,,20,
paris_db=0.50,paris,0.5,2.5,1.5,0.8,flex,,20,
paris_db=0.50,paris,0.5,1.2,1.5,0.8,partflex,2.0,20,
paris_db=0.50,paris,0.5,1.2,1.5,0.8,partflex,3.0,20,
paris_db=0.50,paris,0.5,1.2,1.5,0.8,partflex,4.0,20,
paris_db=0.50,paris,0.5,1.5,1.5,0.8,partflex,2.0,20,
paris_db=0.50,paris,0.5,1.5,1.5,0.8,partflex,3.0,20,
paris_db=0.50,paris,0.5,1.5,1.5,0.8,partflex,4.0,20,
paris_db=0.50,paris,0.5,1.8,1.5,0.8,partflex,2.0,20,
paris_db=0.50,paris,0.5,1.8,1.5,0.8,partflex,3.0,20,
paris_db=0.50,paris,0.5,1.8,1.5,0.8,partflex,4.0,20,
paris_db=0.50,paris,0.5,2.0,1.5,0.8,partflex,2.0,20,
paris_db=0.50,paris,0.5,2.0,1.5,0.8,partflex,3.0,20,
paris_db=0.50,paris,0.5,2.0,1.5,0.8,partflex,4.0,20,
paris_db=0.50,paris,0.5,2.5,1.5,0.8,partflex,2.0,20,
paris_db=0.50,paris,0.5,2.5,1.5,0.8,partflex,3.0,20,
paris_db=0.50,paris,0.5,2.5,1.5,0.8,partflex,4.0,20,
paris_db=1.00,paris,1.0,1.2,1.5,0.8,fixed,,20,16773.214118991964
paris_db=1.00,paris,1.0,1.5,1.5,0.8,fixed,,20,20846.51764874017
paris_db=1.00,paris,1.0,1.8,1.5,0.8,fixed,,20,24919.821178488033
paris_db=1.00,paris,1.0,2.0,1.5,0.8,fixed,,20,27635.35686498686
paris_db=1.00,paris,1.0,2.5,1.5,0.8,fixed,,20,34424.19608123362
paris_db=1.00,paris,1.0,1.2,1.5,0.8,flex,,20,
paris_db=1.00,paris,1.0,1.5,1.5,0.8,flex,,20,
paris_db=1.00,paris,1.0,1.8,1.5,0.8,flex,,20,
paris_db=1.00,paris,1.0,2.0,1.5,0.8,flex,,20,
paris_db=1.00,paris,1.0,2.5,1.5,0.8,flex,,20,
paris_db=1.00,paris,1.0,1.2,1.5,0.8,partflex,2.0,20,
paris_db=1.00,paris,1.0,1.2,1.5,0.8,partflex,3.0,20,
paris_db=1.00,paris,1.0,1.2,1.5,0.8,partflex,4.0,20,
paris_db=1.00,paris,1.0,1.5,1.5,0.8,partflex,2.0,20,
paris_db=1.00,paris,1.0,1.5,1.5,0.8,partflex,3.0,20,
paris_db=1.00,paris,1.0,1.5,1.5,0.8,partflex,4.0,20,
paris_db=1.00,paris,1.0,1.8,1.5,0.8,partflex,2.0,20,
paris_db=1.00,paris,1.0,1.8,1.5,0.8,partflex,3.0,20,
paris_db=1.00,paris,1.0,1.8,1.5,0.8,partflex,4.0,20,
paris_db=1.00,paris,1.0,2.0,1.5,0.8,partflex,2.0,20,
paris_db=1.00,paris,1.0,2.0,1.5,0.8,partflex,3.0,20,
paris_db=1.00,paris,1.0,2.0,1.5,0.8,partflex,4.0,20,
paris_db=1.00,paris,1.0,2.5,1.5,0.8,partflex,2.0,20,
paris_db=1.00,paris,1.0,2.5,1.5,0.8,partflex,3.0,20,
paris_db=1.00,paris,1.0,2.5,1.5,0.8,partflex,4.0,20,
paris_db=2.00,paris,2.0,1.2,1.5,0.8,fixed,,20,35738.29006744227
paris_db=2.00,paris,2.0,1.5,1.5,0.8,fixed,,20,44552.86258430308
paris_db=2.00,paris,2.0,1.8,1.5,0.8,fixed,,20,53367.435101163675
paris_db=2.00,paris,2.0,2.0,1.5,0.8,fixed,,20,59243.8167790709
paris_db=2.00,paris,2.0,2.5,1.5,0.8,fixed,,20,73934.77097383849
paris_db=2.00,paris,2.0,1.2,1.5,0.8,flex,,20,
paris_db=2.00,paris,2.0,1.5,1.5,0.8,flex,,20,
paris_db=2.00,paris,2.0,1.8,1.5,0.8,flex,,20,
paris_db=2.00,paris,2.0,2.0,1.5,0.8,flex,,20,
paris_db=2.00,paris,2.0,2.5,1.5,0.8,flex,,20,
paris_db=2.00,paris,2.0,1.2,1.5,0.8,partflex,2.0,20,33993.02466537012
paris_db=2.00,paris,2.0,1.2,1.5,0.8,partflex,3.0,20,33993.02466537012
paris_db=2.00,paris,2.0,1.2,1.5,0.8,partflex,4.0,20,33993.02466537012
paris_db=2.00,paris,2.0,1.5,1.5,0.8,partflex,2.0,20,
paris_db=2.00,paris,2.0,1.5,1.5,0.8,partflex,3.0,20,
paris_db=2.00,paris,2.0,1.5,1.5,0.8,partflex,4.0,20,
paris_db=2.00,paris,2.0,1.8,1.5,0.8,partflex,2.0,20,
paris_db=2.00,paris,2.0,1.8,1.5,0.8,partflex,3.0,20,
paris_db=2.00,paris,2.0,1.8,1.5,0.8,partflex,4.0,20,
paris_db=2.00,paris,2.0,2.0,1.5,0.8,partflex,2.0,20,
paris_db=2.00,paris,2.0,2.0,1.5,0.8,partflex,3.0,20,
paris_db=2.00,paris,2.0,2.0,1.5,0.8,partflex,4.0,20,
paris_db=2.00,paris,2.0,2.5,1.5,0.8,partflex,2.0,20,
paris_db=2.00,paris,2.0,2.5,1.5,0.8,partflex,3.0,20,
paris_db=2.00,paris,2.0,2.5,1.5,0.8,partflex,4.0,20,
paris_db=4.00,paris,4.0,1.2,1.5,0.8,fixed,,20,72728.43700696464
paris_db=4.00,paris,4.0,1.5,1.5,0.8,fixed,,20,90790.54625870565
paris_db=4.00,paris,4.0,1.8,1.5,0.8,fixed,,20,108852.65551044687
paris_db=4.00,paris,4.0,2.0,1.5,0.8,fixed,,20,120894.06167827468
paris_db=4.00,paris,4.0,2.5,1.5,0.8,fixed,,20,150997.5770978431
paris_db=4.00,paris,4.0,1.2,1.5,0.8,flex,,20,
paris_db=4.00,paris,4.0,1.5,1.5,0.8,flex,,20,
paris_db=4.00,paris,4.0,1.8,1.5,0.8,flex,,20,
paris_db=4.00,paris,4.0,2.0,1.5,0.8,flex,,20,
paris_db=4.00,paris,4.0,2.5,1.5,0.8,flex,,20,144835.14918907208
paris_db=4.00,paris,4.0,1.2,1.5,0.8,partflex,2.0,20,70294.65659819436
paris_db=4.00,paris,4.0,1.2,1.5,0.8,partflex,3.0,20,70294.65659819436
paris_db=4.00,paris,4.0,1.2,1.5,0.8,partflex,4.0,20,70294.65659819436
paris_db=4.00,paris,4.0,1.5,1.5,0.8,partflex,2.0,20,
paris_db=4.00,paris,4.0,1.5,1.5,0.8,partflex,3.0,20,
paris_db=4.00,paris,4.0,1.5,1.5,0.8,partflex,4.0,20,
paris_db=4.00,paris,4.0,1.8,1.5,0.8,partflex,2.0,20,
paris_db=4.00,paris,4.0,1.8,1.5,0.8,partflex,3.0,20,
paris_db=4.00,paris,4.0,1.8,1.5,0.8,partflex,4.0,20,
paris_db=4.00,paris,4.0,2.0,1.5,0.8,partflex,2.0,20,
paris_db=4.00,paris,4.0,2.0,1.5,0.8,partflex,3.0,20,
paris_db=4.00,paris,4.0,2.0,1.5,0.8,partflex,4.0,20,
paris_db=4.00,paris,4.0,2.5,1.5,0.8,partflex,2.0,20,144835.14918907208
paris_db=4.00,paris,4.0,2.5,1.5,0.8,partflex,3.0,20,144835.14918907208
paris_db=4.00,paris,4.0,2.5,1.5,0.8,partflex,4.0,20,144835.14918907208
